month,rain_days,rain_amount,humidity,sun_hrs,mean_temp
2000-10-01,14,120.9,82.1,4.0,27.8
2000-11-01,21,385.7,87.1,3.7,27.3
2000-12-01,18,236.0,87.6,4.2,27.0
2001-01-01,21,425.8,87.4,4.4,26.5
2001-02-01,11,86.6,83.6,4.8,27.0
2001-03-01,20,297.3,84.5,5.4,27.5
2001-04-01,18,203.3,86.0,5.3,27.7
2001-05-01,12,164.9,85.0,6.0,28.5
2001-06-01,11,137.1,82.5,4.9,28.2
2001-07-01,9,111.3,80.8,8.1,28.4
2001-08-01,14,158.3,83.7,4.9,28.0
2001-09-01,13,162.0,82.3,6.2,28.0
2001-10-01,20,252.2,83.7,4.4,27.6
2001-11-01,15,175.3,84.9,3.7,27.2
2001-12-01,20,609.0,86.8,4.5,26.7
2002-01-01,11,221.2,83.6,6.9,27.0
2002-02-01,2,50.8,80.9,7.4,27.3
2002-03-01,8,55.6,80.8,7.6,28.2
2002-04-01,13,116.5,82.3,6.6,28.6
2002-05-01,13,236.6,82.3,6.2,28.9
2002-06-01,12,83.1,82.1,6.3,28.7
2002-07-01,11,233.7,82.7,6.8,28.4
2002-08-01,14,54.2,79.2,6.7,28.5
2002-09-01,9,124.2,81.7,5.5,28.1
2002-10-01,7,10.8,79.8,6.2,28.7
2002-11-01,15,307.2,85.8,4.6,27.4
2002-12-01,24,255.0,88.7,4.8,27.2
2003-01-01,20,444.2,86.9,4.7,26.7
2003-02-01,13,172.9,85.0,5.8,27.1
2003-03-01,11,154.6,83.8,6.9,28.1
2003-04-01,20,159.9,86.7,5.1,27.9
2003-05-01,11,81.8,81.7,5.8,29.2
2003-06-01,12,50.3,78.5,7.0,28.9
2003-07-01,14,170.4,81.7,5.6,28.1
2003-08-01,13,193.6,83.1,6.1,28.2
2003-09-01,15,205.3,84.8,5.0,27.6
2003-10-01,21,351.4,84.9,5.1,27.6
2003-11-01,19,133.8,87.3,4.2,27.1
2003-12-01,17,273.0,87.2,3.9,26.5
2004-01-01,13,600.9,86.7,6.7,26.9
2004-02-01,4,31.9,80.5,7.7,27.6
2004-03-01,16,269.4,85.8,4.8,27.7
2004-04-01,9,57.1,82.3,7.0,28.9
2004-05-01,13,137.6,82.1,6.0,28.9
2004-06-01,8,127.2,79.8,6.3,29.0
2004-07-01,20,166.6,85.3,4.2,27.3
2004-08-01,8,185.2,80.3,7.3,28.3
2004-09-01,14,128.9,83.6,5.9,27.8
2004-10-01,13,125.6,83.9,5.0,27.8
2004-11-01,15,166.2,86.1,5.8,27.3
2004-12-01,14,139.8,85.2,4.9,26.8
2005-01-01,8,163.2,83.3,6.5,26.6
2005-02-01,3,8.4,77.7,9.1,28.5
2005-03-01,12,82.4,80.3,7.2,28.5
2005-04-01,10,81.7,81.0,7.0,28.7
2005-05-01,20,331.1,84.6,5.5,28.5
2005-06-01,15,82.3,82.7,5.4,28.8
2005-07-01,15,104.0,84.0,5.4,28.0
2005-08-01,13,58.5,82.9,6.5,28.2
2005-09-01,18,175.7,84.2,6.2,28.2
2005-10-01,19,314.5,85.2,5.1,27.6
2005-11-01,23,362.9,86.4,4.4,27.3
2005-12-01,19,166.0,85.6,4.5,27.3
2006-01-01,20,454.4,87.8,4.8,26.5
2006-02-01,8,115.5,84.0,7.4,27.5
2006-03-01,9,83.1,81.3,7.1,28.3
2006-04-01,18,239.8,87.0,5.3,27.6
2006-05-01,14,205.7,85.2,5.0,28.1
2006-06-01,16,236.8,86.3,5.5,27.8
2006-07-01,15,153.8,83.8,6.9,28.4
2006-08-01,14,127.3,81.9,6.7,28.3
2006-09-01,12,83.3,81.0,5.3,28.0
2006-10-01,8,102.0,80.9,4.8,28.3
2006-11-01,18,185.6,87.4,5.6,27.3
2006-12-01,22,765.9,88.5,3.2,26.6
2007-01-01,20,450.1,86.8,4.1,26.5
2007-02-01,3,105.5,82.5,7.6,27.3
2007-03-01,21,269.1,84.9,5.8,27.5
2007-04-01,14,240.2,84.7,5.9,28.1
2007-05-01,16,127.2,84.8,5.5,28.3
2007-06-01,12,139.0,82.8,6.0,28.4
2007-07-01,19,141.7,84.8,3.8,27.7
2007-08-01,20,190.7,82.9,5.7,27.7
2007-09-01,13,149.0,83.3,5.8,27.8
2007-10-01,16,237.2,83.2,5.6,27.8
2007-11-01,21,367.9,86.5,3.5,26.9
2007-12-01,20,468.6,86.8,4.5,26.4
2008-01-01,19,262.6,86.0,6.1,26.8
2008-02-01,8,129.2,82.9,5.5,26.7
2008-03-01,16,294.1,87.1,4.3,26.5
2008-04-01,13,87.2,82.0,6.0,28.1
2008-05-01,11,124.9,79.1,6.6,28.8
2008-06-01,12,118.3,81.5,5.6,28.2
2008-07-01,15,89.1,81.3,4.9,27.8
2008-08-01,18,327.3,83.8,5.5,27.4
2008-09-01,18,164.4,82.7,5.1,27.7
2008-10-01,19,159.5,84.9,4.5,27.6
2008-11-01,16,324.3,85.9,4.0,27.3
2008-12-01,17,244.2,83.7,4.8,26.9
2009-01-01,5,38.3,79.1,6.6,26.8
2009-02-01,8,201.8,80.7,6.4,27.3
2009-03-01,19,223.3,85.4,5.5,27.2
2009-04-01,12,183.7,82.2,6.2,28.5
2009-05-01,17,198.6,83.0,6.6,28.7
2009-06-01,8,21.8,79.8,7.0,29.1
2009-07-01,16,161.0,80.8,6.2,28.3
2009-08-01,12,177.8,80.7,6.5,28.3
2009-09-01,13,109.6,82.0,5.6,28.3
2009-10-01,15,133.4,82.8,5.4,28.2
2009-11-01,23,281.8,85.6,4.7,27.2
2009-12-01,18,189.8,86.3,4.7,27.1
2010-01-01,10,69.5,82.1,7.1,27.5
2010-02-01,4,6.3,77.3,8.8,28.9
2010-03-01,11,238.0,79.9,6.1,28.6
2010-04-01,18,158.5,84.1,6.2,28.6
2010-05-01,17,157.5,82.2,6.5,29.2
2010-06-01,19,240.5,83.9,5.1,28.3
2010-07-01,18,298.5,84.8,4.6,27.7
2010-08-01,16,158.4,84.2,5.4,27.9
2010-09-01,13,121.5,82.5,5.7,28.0
2010-10-01,17,166.2,82.3,4.2,28.3
2010-11-01,21,278.8,85.9,5.0,27.4
2010-12-01,14,181.4,85.3,3.6,26.8
2011-01-01,17,513.2,85.8,4.5,26.3
2011-02-01,8,23.0,81.1,7.5,27.3
2011-03-01,22,256.6,85.5,4.6,27.1
2011-04-01,12,217.8,83.9,7.2,27.9
2011-05-01,15,127.0,85.3,5.9,28.5
2011-06-01,15,213.0,83.7,5.0,28.4
2011-07-01,7,76.6,81.3,7.8,28.7
2011-08-01,13,81.4,82.6,6.1,27.9
2011-09-01,14,136.4,82.7,5.1,27.8
2011-10-01,20,216.8,87.4,5.3,27.3
2011-11-01,24,377.8,87.8,4.6,27.1
2011-12-01,21,284.6,88.4,3.3,26.6
2012-01-01,16,106.1,87.3,6.0,26.7
2012-02-01,11,83.6,85.6,7.0,27.2
2012-03-01,21,313.4,87.3,4.2,27.0
2012-04-01,20,260.6,85.1,5.8,27.6
2012-05-01,19,292.0,83.1,5.6,28.2
2012-06-01,8,53.0,79.0,6.0,28.7
2012-07-01,17,130.8,81.1,6.2,27.7
2012-08-01,12,119.0,79.8,6.1,27.9
2012-09-01,10,107.6,79.7,5.6,27.9
2012-10-01,13,122.2,81.3,5.9,27.7
2012-11-01,22,208.2,85.4,4.4,27.1
2012-12-01,22,363.4,87.0,3.6,26.7
2013-01-01,15,262.0,82.1,6.0,27.1
2013-02-01,22,395.2,86.9,4.0,26.5
2013-03-01,10,85.8,80.4,7.5,28.3
2013-04-01,19,159.4,82.7,5.2,28.2
2013-05-01,17,211.4,83.1,5.4,28.2
2013-06-01,12,111.4,74.6,6.4,29.0
2013-07-01,15,174.6,79.9,5.7,27.8
2013-08-01,15,165.6,79.0,6.1,27.9
2013-09-01,19,257.0,81.3,4.6,27.5
2013-10-01,19,285.4,79.9,6.3,27.7
2013-11-01,22,292.4,84.6,4.5,27.1
2013-12-01,21,348.2,85.8,3.5,26.5
2014-01-01,5,75.4,78.5,5.3,26.2
2014-02-01,1,0.2,74.5,8.8,27.2
2014-03-01,6,66.0,76.0,8.0,27.9
2014-04-01,17,110.0,80.0,5.7,28.2
2014-05-01,18,125.8,80.2,5.8,28.6
2014-06-01,11,71.4,77.5,6.0,29.0
